sample_name	Number.of.input.reads	Average.input.read.length	Uniquely.mapped.reads.number	Uniquely.mapped.reads..	Average.mapped.length	Number.of.splices..Total	Number.of.splices..Annotated..sjdb.	Number.of.splices..GT.AG	Number.of.splices..GC.AG	Number.of.splices..AT.AC	Number.of.splices..Non.canonical	Mismatch.rate.per.base...	Deletion.rate.per.base	Deletion.average.length	Insertion.rate.per.base	Insertion.average.length	Number.of.reads.mapped.to.multiple.loci	X..of.reads.mapped.to.multiple.loci	Number.of.reads.mapped.to.too.many.loci	X..of.reads.mapped.to.too.many.loci	Number.of.reads.unmapped..too.many.mismatches	X..of.reads.unmapped..too.many.mismatches	Number.of.reads.unmapped..too.short	X..of.reads.unmapped..too.short	Number.of.reads.unmapped..other	X..of.reads.unmapped..other	num_fq_sets
BLCA-4Z-AA7W-TP	49513913	96	43575098	88.01%	95.18	9035190	8779482	8981243	42387	5077	6483	0.27%	0.00%	1.31	0.00%	1.21	3200609	6.46%	19894	0.04%	471	0.00%	2698891	5.45%	18950	0.04%	2
LIHC-DD-A4NQ-TP	45815215	96	40170946	87.68%	95.02	8347300	8252399	8275630	63621	4774	3275	0.61%	0.00%	1.42	0.00%	1.21	2579911	5.63%	10101	0.02%	240	0.00%	3042110	6.64%	11907	0.03%	2
SKCM-BF-A5EP-TP	65597743	96	59867882	91.27%	95.12	12379005	12277436	12281951	79959	10612	6483	0.25%	0.00%	1.36	0.00%	1.22	3696816	5.64%	27604	0.04%	474	0.00%	1988269	3.03%	16698	0.03%	2
BRCA-D8-A27I-TP	93550560	100	81704879	87.34%	98.98	19075125	18840790	18921477	125648	14165	13835	0.36%	0.00%	1.38	0.01%	1.25	4817710	5.15%	36865	0.04%	1337	0.00%	6952998	7.43%	36771	0.04%	2
THCA-ET-A39O-TP	71988408	96	65010836	90.31%	94.91	14400384	14274083	14293646	85793	9402	11543	0.47%	0.00%	1.49	0.00%	1.2	4636880	6.44%	11782	0.02%	357	0.00%	2319145	3.22%	9408	0.01%	2
LAML-AB-2998-TB	72533147	100	53397492	73.62%	98.93	6500539	6367247	6424828	59124	6341	10246	0.60%	0.00%	1.53	0.00%	1.25	3714864	5.12%	72182	0.10%	1911	0.00%	13050961	17.99%	2295737	3.17%	2
LUAD-78-7152-TP	29769681	96	26577823	89.28%	95.11	6088281	5996942	6041876	36673	4313	5419	0.20%	0.00%	1.42	0.01%	1.2	2166824	7.28%	12301	0.04%	229	0.00%	1001854	3.37%	10650	0.04%	2
SKCM-EE-A20I-TM	88146133	96	81622261	92.60%	95.1	20023454	19780983	19850869	145113	17355	10117	0.27%	0.00%	1.48	0.00%	1.18	3783273	4.29%	16822	0.02%	487	0.00%	2704711	3.07%	18579	0.02%	2
THCA-EL-A3ZR-NT	82885685	96	75977954	91.67%	95.2	15802772	15624049	15678568	98360	12615	13229	0.22%	0.00%	1.44	0.01%	1.2	4073638	4.91%	37650	0.05%	550	0.00%	2756892	3.33%	39001	0.05%	2
PRAD-EJ-5542-TP	78236344	96	71259606	91.08%	95.07	15258759	15128005	15112363	121606	13769	11021	0.33%	0.00%	1.49	0.01%	1.2	3964910	5.07%	19396	0.02%	642	0.00%	2955486	3.78%	36304	0.05%	2
STAD-VQ-A91W-TP	149570493	150	119824168	80.11%	148.35	46562731	45944533	46160792	303696	34175	64068	0.58%	0.00%	1.37	0.00%	1.46	9463800	6.33%	97613	0.07%	95409	0.06%	20040141	13.40%	49362	0.03%	2
BRCA-BH-A1FN-TP	55533261	100	49069179	88.36%	99.07	10732505	10629367	10646533	68179	9158	8635	0.32%	0.00%	1.44	0.01%	1.24	3173207	5.71%	21109	0.04%	588	0.00%	3247525	5.85%	21653	0.04%	2
LGG-TQ-A7RJ-TP	81506715	96	71562553	87.80%	95.18	11827316	11682417	11727135	82983	9313	7885	0.22%	0.00%	1.42	0.01%	1.23	5539590	6.80%	44928	0.06%	828	0.00%	4320344	5.30%	38472	0.05%	2
TGCT-2G-AAGW-TP	53148833	96	47118354	88.65%	95.19	11680095	11577092	11579346	83340	11017	6392	0.19%	0.00%	1.42	0.01%	1.21	4613182	8.68%	49786	0.09%	477	0.00%	1270771	2.39%	96263	0.18%	2
BLCA-2F-A9KQ-TP	60298748	96	55094588	91.37%	95.23	10630696	10524266	10520602	92127	8939	9028	0.19%	0.00%	1.43	0.01%	1.21	3637263	6.03%	20983	0.03%	367	0.00%	1518611	2.52%	26936	0.04%	2
BRCA-AR-A2LR-TP	56078615	100	50071486	89.29%	99.06	12342601	12219259	12247150	76987	10589	7875	0.24%	0.00%	1.53	0.01%	1.22	3044295	5.43%	37570	0.07%	644	0.00%	2880925	5.14%	43695	0.08%	2
LAML-AB-2904-TB	71932175	100	51818993	72.04%	98.57	4843765	4701586	4783875	48324	4555	7011	0.50%	0.01%	1.45	0.01%	1.26	6748021	9.38%	96177	0.13%	1606	0.00%	12405946	17.25%	861432	1.20%	2
BLCA-DK-A6B1-TP	76706305	96	69713414	90.88%	95.15	14609807	14469207	14488097	97180	12729	11801	0.30%	0.00%	1.53	0.01%	1.2	4301282	5.61%	28881	0.04%	331	0.00%	2616524	3.41%	45873	0.06%	2
BRCA-AO-A12D-TP	64233504	100	57910701	90.16%	99.06	13511502	13044396	13418788	72279	9093	11342	0.29%	0.01%	1.49	0.01%	1.25	3495519	5.44%	21162	0.03%	663	0.00%	2768822	4.31%	36637	0.06%	2
READ-AG-3731-TP	64375391	96	58180328	90.38%	95.06	13723041	13469944	13601708	98417	12845	10071	0.28%	0.00%	1.4	0.00%	1.21	3817617	5.93%	26197	0.04%	764	0.00%	2326344	3.61%	24141	0.04%	2
PRAD-EJ-7784-NT	80828176	96	74170787	91.76%	95.15	16035732	15884175	15871581	138584	13025	12542	0.19%	0.00%	1.47	0.01%	1.22	4385186	5.43%	28394	0.04%	676	0.00%	2202103	2.72%	41030	0.05%	2
BRCA-BH-A1EU-NT	44437972	100	40041477	90.11%	99.16	7509503	7428199	7446974	51139	5579	5811	0.21%	0.00%	1.42	0.01%	1.23	2378497	5.35%	18915	0.04%	514	0.00%	1974625	4.44%	23944	0.05%	2
PCPG-WB-A81V-TP	68477736	96	56257661	82.15%	95.17	8751891	8673537	8685045	51110	6161	9575	0.26%	0.00%	1.35	0.01%	1.2	7448865	10.88%	19044	0.03%	723	0.00%	4737883	6.92%	13560	0.02%	2
KIRC-CZ-5984-TP	87270932	100	78897120	90.40%	99.01	18137288	17873925	17966518	143792	13832	13146	0.33%	0.00%	1.41	0.01%	1.21	5051598	5.79%	22542	0.03%	1192	0.00%	3272682	3.75%	25798	0.03%	2
PAAD-IB-AAUN-TP	53226181	96	47404509	89.06%	95.06	10363336	10178846	10285923	60841	6999	9573	0.30%	0.00%	1.41	0.01%	1.22	3218870	6.05%	26402	0.05%	599	0.00%	2556884	4.80%	18917	0.04%	2
THCA-EL-A3D1-TP	73640407	96	63651155	86.44%	94.77	12356797	12259046	12271843	64278	7964	12712	0.31%	0.00%	1.54	0.01%	1.2	5718510	7.77%	23873	0.03%	306	0.00%	4220889	5.73%	25674	0.03%	2
READ-AG-3726-TP	28101061	76	24532279	87.30%	75.19	6288037	6233418	6244032	33687	5526	4792	0.68%	0.01%	1.91	0.00%	1.48	2937078	10.45%	13554	0.05%	0	0.00%	612423	2.18%	5727	0.02%	1
SARC-DX-A1L0-TP	53691362	96	49011227	91.28%	95.1	10819382	10741402	10750628	54695	6138	7921	0.25%	0.00%	1.47	0.01%	1.33	2652320	4.94%	17407	0.03%	596	0.00%	1986827	3.70%	22985	0.04%	2
PAAD-IB-AAUP-TP	65896129	96	58206077	88.33%	95.07	12827986	12479966	12730020	78300	9228	10438	0.25%	0.00%	1.44	0.01%	1.24	3682063	5.59%	30169	0.05%	928	0.00%	3944912	5.99%	31980	0.05%	2
SKCM-EB-A5VU-TP	79990546	96	72366623	90.47%	95.14	16165646	16016269	16037912	103971	14601	9162	0.25%	0.00%	1.46	0.00%	1.21	5710787	7.14%	27781	0.03%	743	0.00%	1858634	2.32%	25978	0.03%	2
PAAD-IB-AAUV-TP	74965655	96	68101650	90.84%	95.07	14622976	14492539	14530785	73444	8602	10145	0.28%	0.00%	1.43	0.01%	1.23	3720020	4.96%	26480	0.04%	834	0.00%	3093662	4.13%	23009	0.03%	2
BRCA-D8-A27H-TP	85380528	100	75427001	88.34%	98.98	17712802	17501295	17561662	125936	12817	12387	0.36%	0.00%	1.43	0.01%	1.21	3758056	4.40%	32851	0.04%	1087	0.00%	6126735	7.18%	34798	0.04%	2
SARC-DX-A240-TP	69553040	96	63033487	90.63%	94.92	17812172	17715739	17724878	65043	9397	12854	0.29%	0.00%	1.46	0.01%	1.5	4232498	6.09%	18788	0.03%	1033	0.00%	2251786	3.24%	15448	0.02%	2
LUSC-77-8150-TP	21586543	96	18788808	87.04%	95.14	3744615	3661687	3710561	27874	2877	3303	0.20%	0.00%	1.44	0.01%	1.19	1528623	7.08%	14428	0.07%	150	0.00%	1225401	5.68%	29133	0.13%	2
BRCA-GM-A3NY-TP	88214892	96	78963748	89.51%	95.31	10387758	10215913	10306832	58668	7079	15179	0.21%	0.01%	1.41	0.01%	1.21	6566232	7.44%	55951	0.06%	731	0.00%	2579067	2.92%	49163	0.06%	2
LIHC-FV-A23B-NT	76659708	96	70085130	91.42%	95.13	16000699	15823815	15907288	82196	5677	5538	0.22%	0.00%	1.39	0.00%	1.17	4788048	6.25%	12050	0.02%	369	0.00%	1760014	2.30%	14097	0.02%	2
LAML-AB-2848-TB	66015003	100	48199754	73.01%	99.19	3585703	3462257	3532054	44603	3399	5647	0.45%	0.00%	1.53	0.01%	1.27	3176643	4.81%	97903	0.15%	1799	0.00%	13116616	19.87%	1422288	2.15%	2
HNSC-CR-7398-TP	68422363	96	62202518	90.91%	95.16	13959326	13792069	13842520	94201	13546	9059	0.23%	0.00%	1.47	0.01%	1.21	3943355	5.76%	51454	0.08%	685	0.00%	2131310	3.11%	93041	0.14%	2
PRAD-YL-A8SP-TP	68785749	96	61128008	88.87%	95.13	14213634	14103241	14096038	94176	10731	12689	0.29%	0.00%	1.44	0.00%	1.2	4898885	7.12%	24518	0.04%	516	0.00%	2703747	3.93%	30075	0.04%	2
THCA-EM-A22Q-TP	28396686	96	21829761	76.87%	94.95	3671837	3642570	3648615	13303	2994	6925	0.30%	0.01%	1.41	0.01%	1.2	2346463	8.26%	10513	0.04%	190	0.00%	4192435	14.76%	17324	0.06%	2
BLCA-CU-A0YN-NT	45037808	96	41431541	91.99%	95.03	9385124	9324046	9328163	45967	5529	5465	0.16%	0.00%	1.46	0.01%	1.22	2547472	5.66%	9376	0.02%	329	0.00%	1040127	2.31%	8963	0.02%	2
BLCA-ZF-A9R7-TP	43745729	96	38862891	88.84%	95.32	5133290	4993309	5090292	34284	3737	4977	0.18%	0.01%	1.4	0.01%	1.22	2797914	6.40%	44588	0.10%	490	0.00%	1986571	4.54%	53275	0.12%	2
GBM-12-0616-TP	60621954	152	33119504	54.63%	150.56	13517635	13382687	13417309	76576	13100	10650	0.68%	0.01%	1.36	0.01%	1.5	5146324	8.49%	8646	0.01%	22245	0.04%	22322222	36.82%	3013	0.00%	2
BRCA-EW-A1PA-TP	58423750	100	52586919	90.01%	99.16	10107187	9901544	10020136	68100	9283	9668	0.33%	0.00%	1.4	0.01%	1.23	3251453	5.57%	26806	0.05%	699	0.00%	2527282	4.33%	30591	0.05%	2
KIRP-IA-A83T-TP	82222307	96	72297959	87.93%	95.12	14483667	14283952	14368614	93960	10623	10470	0.35%	0.00%	1.34	0.00%	1.21	5332890	6.49%	20681	0.03%	629	0.00%	4557252	5.54%	12896	0.02%	2
KIRP-IZ-8195-TP	61634981	96	53770176	87.24%	95.3	8040406	7978834	7966842	60336	7437	5791	0.20%	0.01%	1.17	0.01%	1.19	5814866	9.43%	9371	0.02%	260	0.00%	2027594	3.29%	12714	0.02%	2
OV-24-1924-TP	109907707	150	82179778	74.77%	148.23	39009788	38194464	38595299	288355	35199	90935	0.50%	0.01%	1.11	0.01%	1.48	19475041	17.72%	77925	0.07%	92981	0.08%	8062144	7.34%	19838	0.02%	2
BRCA-AR-A1AQ-TP	58847935	100	50461036	85.75%	98.86	11908757	10947604	11820216	70251	9780	8510	0.43%	0.00%	1.36	0.01%	1.21	4555415	7.74%	11935	0.02%	541	0.00%	3806422	6.47%	12586	0.02%	2
BRCA-D8-A1XG-TP	67526293	100	61635851	91.28%	99.05	14328764	14156750	14201530	101859	11009	14366	0.25%	0.00%	1.43	0.01%	1.25	2904745	4.30%	24582	0.04%	885	0.00%	2929465	4.34%	30765	0.05%	2
TGCT-YU-A94D-TP	57001369	96	51680614	90.67%	95.28	10674170	10562391	10585996	71495	9078	7601	0.18%	0.00%	1.43	0.01%	1.2	3980117	6.98%	34105	0.06%	464	0.00%	1264586	2.22%	41483	0.07%	2
LUAD-05-4396-TP	35939493	96	32000881	89.04%	95.14	6874806	6778160	6812543	50531	5381	6351	0.16%	0.00%	1.45	0.01%	1.2	1930905	5.37%	23400	0.07%	417	0.00%	1913298	5.32%	70592	0.20%	2
LGG-TQ-A8XE-TR	63718360	96	57981430	91.00%	95.18	10644913	10533048	10555213	72940	9698	7062	0.31%	0.00%	1.45	0.01%	1.21	2871713	4.51%	24387	0.04%	489	0.00%	2819031	4.42%	21310	0.03%	2
PRAD-FC-A66V-TP	67457442	96	53151839	78.79%	95.14	10673554	10576832	10593134	62480	7785	10155	0.24%	0.00%	1.45	0.01%	1.2	12524763	18.57%	22806	0.03%	705	0.00%	1738221	2.58%	19108	0.03%	2
THCA-BJ-A2N8-TP	88124722	96	77901764	88.40%	94.94	17262751	17123166	17129186	103604	13685	16276	0.64%	0.00%	1.5	0.01%	1.18	5706943	6.48%	20352	0.02%	308	0.00%	4479957	5.08%	15398	0.02%	2
KIRC-BP-4995-TP	115812837	100	102905274	88.85%	99.1	20874258	20578180	20672954	166906	17231	17167	0.33%	0.00%	1.43	0.01%	1.21	7436879	6.42%	50002	0.04%	1894	0.00%	5372768	4.64%	46020	0.04%	2
LUAD-05-5425-TP	49317373	96	44054367	89.33%	94.66	11191014	10946118	11104723	66950	8594	10747	0.44%	0.00%	1.42	0.00%	1.19	3501443	7.10%	12781	0.03%	665	0.00%	1731206	3.51%	16911	0.03%	2
UCEC-D1-A103-TP	36479910	76	31984453	87.68%	75.04	6629459	6491469	6575857	42093	4760	6749	0.34%	0.01%	1.58	0.01%	1.3	3359911	9.21%	36953	0.10%	0	0.00%	1078532	2.96%	20061	0.05%	1
STAD-3M-AB47-TP	130594834	150	88494184	67.76%	148.15	24191351	23614820	23967955	162911	17983	42502	0.81%	0.01%	1.22	0.01%	1.51	7093891	5.43%	128181	0.10%	118731	0.09%	34734479	26.60%	25368	0.02%	2
THCA-EL-A3CU-TP	75580683	96	62040351	82.08%	95.13	12909372	12653396	12803764	84219	9452	11937	0.18%	0.00%	1.38	0.01%	1.22	4250415	5.62%	18987	0.03%	1125	0.00%	9248976	12.24%	20829	0.03%	2
LUAD-49-AARE-TP	71082449	96	64039620	90.09%	95.27	11375820	11107774	11277178	78945	8745	10952	0.21%	0.01%	1.4	0.01%	1.21	4996487	7.03%	52913	0.07%	759	0.00%	1943393	2.73%	49277	0.07%	2
THCA-DE-A4M8-TP	68803581	96	58006615	84.31%	94.95	10854414	9554051	10770460	62111	7609	14234	0.32%	0.00%	1.31	0.00%	1.22	5403976	7.85%	18410	0.03%	1147	0.00%	5352340	7.78%	21093	0.03%	2
STAD-BR-6458-TP	112036817	150	85029181	75.89%	148.49	43158154	42296106	42775639	288727	33694	60094	0.67%	0.00%	1.05	0.01%	1.53	15199011	13.57%	55838	0.05%	178191	0.16%	11546768	10.31%	27828	0.02%	2
PRAD-G9-6377-TP	76029179	96	68242011	89.76%	94.94	14472240	14370375	14351102	95885	13005	12248	0.22%	0.00%	1.44	0.01%	1.2	5453288	7.17%	18412	0.02%	569	0.00%	2295995	3.02%	18904	0.02%	2
COAD-AA-3526-TP	58599278	96	51235115	87.43%	94.99	13303629	13202231	13197860	83809	11019	10941	0.37%	0.00%	1.43	0.00%	1.19	4483025	7.65%	14416	0.02%	408	0.00%	2851076	4.87%	15238	0.03%	2
MESO-3U-A98G-TP	51862849	96	48565451	93.64%	94.99	13734721	13660218	13669529	49028	5131	11033	0.17%	0.00%	1.5	0.01%	1.42	2138582	4.12%	9549	0.02%	875	0.00%	1138956	2.20%	9436	0.02%	2
BRCA-AR-A2LL-TP	73255577	100	65642248	89.61%	98.98	13840260	13688633	13712196	101985	12418	13661	0.39%	0.00%	1.43	0.01%	1.23	3711477	5.07%	36398	0.05%	1174	0.00%	3833115	5.23%	31165	0.04%	2
LAML-AB-2839-TB	83867887	100	61261881	73.05%	99.1	5333433	5217631	5269715	51373	4848	7497	0.41%	0.00%	1.51	0.01%	1.27	5262155	6.27%	96682	0.12%	1750	0.00%	16236858	19.36%	1008561	1.20%	2
SKCM-D3-A3MR-TM	77534577	96	66377762	85.61%	95.07	10131909	9195263	10058553	56351	7657	9348	0.39%	0.01%	1.18	0.01%	1.2	6020585	7.77%	37644	0.05%	799	0.00%	5061281	6.53%	36506	0.05%	2
STAD-D7-A6EZ-TP	93948310	150	77777210	82.79%	148.24	31996694	31601080	31711317	214077	26194	45106	0.44%	0.00%	1.57	0.01%	1.42	3707895	3.95%	68526	0.07%	18327	0.02%	12177324	12.96%	199028	0.21%	2
OV-24-2289-TP	94319182	150	79322065	84.10%	148.11	34277431	33669441	33824352	289731	29367	133981	0.52%	0.01%	1.26	0.01%	1.46	10086879	10.69%	56933	0.06%	43979	0.05%	4760084	5.05%	49242	0.05%	2
PRAD-V1-A8MF-TP	54556550	96	46569290	85.36%	95.21	7631420	7512017	7564887	51429	7668	7436	0.29%	0.00%	1.31	0.01%	1.17	5488564	10.06%	17572	0.03%	462	0.00%	2462373	4.51%	18289	0.03%	2
UCEC-AX-A3FW-TP	58858479	96	48864991	83.02%	95.16	8901552	8828233	8829122	49148	5923	17359	0.27%	0.00%	1.43	0.01%	1.22	5853083	9.94%	26814	0.05%	465	0.00%	4092757	6.95%	20369	0.03%	2
COAD-AA-3655-NT	55633014	96	49779572	89.48%	95.09	12238859	12057820	12151873	69117	9215	8654	0.22%	0.00%	1.4	0.01%	1.2	4154178	7.47%	12443	0.02%	346	0.00%	1673632	3.01%	12843	0.02%	2
HNSC-IQ-A61J-TP	72728289	96	65466010	90.01%	95.04	14721421	14532436	14616749	86359	8579	9734	0.34%	0.00%	1.48	0.00%	1.25	4983007	6.85%	21762	0.03%	916	0.00%	2217243	3.05%	39351	0.05%	2
THCA-DJ-A3UY-TP	86460025	96	78746768	91.08%	95.17	17270362	17122190	17131201	112100	12685	14376	0.24%	0.00%	1.42	0.01%	1.21	5018447	5.80%	26702	0.03%	558	0.00%	2639076	3.05%	28474	0.03%	2
BRCA-E2-A15M-TP	126101787	100	114261260	90.61%	99.07	24512166	24191539	24302087	172579	20796	16704	0.48%	0.00%	1.45	0.01%	1.22	6846759	5.43%	41513	0.03%	1090	0.00%	4898739	3.88%	52426	0.04%	2
READ-AF-A56K-TP	66638846	96	58630457	87.98%	95.2	10724947	10576386	10633219	67968	8879	14881	0.27%	0.00%	1.38	0.01%	1.2	4664367	7.00%	32769	0.05%	680	0.00%	3282172	4.93%	28401	0.04%	2
COAD-AA-A01G-TP	25315442	76	21215706	83.81%	74.63	4539453	4498161	4501426	29809	4019	4199	0.39%	0.00%	1.59	0.01%	1.35	2609872	10.31%	19439	0.08%	0	0.00%	1461989	5.78%	8436	0.03%	1
BRCA-A8-A06X-TP	51122666	100	44854176	87.74%	99.11	10739927	10638800	10638937	81316	9685	9989	0.30%	0.00%	1.39	0.01%	1.21	2912923	5.70%	20697	0.04%	396	0.00%	3317924	6.49%	16550	0.03%	2
KIRC-CJ-4905-TP	89673753	100	81496756	90.88%	99.12	19704550	19540901	19530489	146099	14677	13285	0.39%	0.00%	1.48	0.00%	1.24	4472777	4.99%	22830	0.03%	693	0.00%	3658021	4.08%	22676	0.03%	2
LUAD-MP-A4TK-TP	61989421	96	55201336	89.05%	95.11	10425875	9910058	10345426	64579	7040	8830	0.22%	0.00%	1.4	0.01%	1.24	3793447	6.12%	28040	0.05%	601	0.00%	2926905	4.72%	39092	0.06%	2
PRAD-EJ-A46E-TP	47786158	96	43491465	91.01%	95.27	7525354	7441856	7460449	51791	6259	6855	0.19%	0.00%	1.45	0.01%	1.21	2741808	5.74%	25284	0.05%	290	0.00%	1484744	3.11%	42567	0.09%	2
CESC-DG-A2KH-TP	95335197	96	85740580	89.94%	95.23	18940117	18768044	18763959	135340	17991	22827	0.20%	0.00%	1.44	0.01%	1.23	5867693	6.15%	44262	0.05%	782	0.00%	3620548	3.80%	61332	0.06%	2
SARC-IS-A3KA-TP	64279668	96	56257114	87.52%	95.27	6135962	6037744	6091058	36004	4573	4327	0.24%	0.01%	1.28	0.01%	1.21	5165868	8.04%	33569	0.05%	337	0.00%	2797094	4.35%	25686	0.04%	2
PCPG-QT-A5XP-TP	37828408	96	33629165	88.90%	95	5779093	5713403	5728063	39802	4931	6297	0.68%	0.00%	1.43	0.00%	1.22	1757839	4.65%	6784	0.02%	244	0.00%	2428390	6.42%	5986	0.02%	2
LUSC-56-8625-TP	53465172	96	47350548	88.56%	94.99	9925206	9560815	9845665	63272	8727	7542	0.29%	0.00%	1.4	0.01%	1.21	2844180	5.32%	27698	0.05%	679	0.00%	3183121	5.95%	58946	0.11%	2
ACC-OR-A5LS-TP	44864363	96	40382677	90.01%	95.15	6363883	6295502	6301819	50752	6499	4813	0.34%	0.01%	1.27	0.01%	1.2	2554153	5.69%	10680	0.02%	383	0.00%	1902419	4.24%	14051	0.03%	2
STAD-VQ-A94O-TP	101498267	150	79861699	78.68%	148.35	31655253	31104754	31357217	221875	29516	46645	0.51%	0.00%	1.26	0.01%	1.52	8212283	8.09%	62953	0.06%	88857	0.09%	13214112	13.02%	58363	0.06%	2
KICH-KL-8329-TP	94704723	96	86255114	91.08%	95.21	16214658	16061285	16072342	117811	12331	12174	0.20%	0.00%	1.42	0.01%	1.19	5867525	6.20%	46247	0.05%	556	0.00%	2509065	2.65%	26216	0.03%	2
PRAD-KK-A59Y-TP	50104136	96	45250696	90.31%	95.23	8251883	8164457	8179307	58494	7020	7062	0.18%	0.00%	1.46	0.01%	1.22	2919116	5.83%	16955	0.03%	252	0.00%	1883567	3.76%	33550	0.07%	2
LUSC-33-6738-TP	75749185	100	67106930	88.59%	99.06	15205682	14840434	15078335	102573	11377	13397	0.30%	0.00%	1.4	0.01%	1.22	5380420	7.10%	23374	0.03%	774	0.00%	3203790	4.23%	33897	0.04%	2
UCEC-EY-A54A-TP	62651047	96	56892136	90.81%	95.15	10987315	10845630	10889757	77972	9687	9899	0.28%	0.00%	1.49	0.01%	1.22	3916185	6.25%	31220	0.05%	500	0.00%	1745821	2.79%	65185	0.10%	2
PRAD-CH-5772-TP	35639500	96	30732210	86.23%	94.84	5606051	5556841	5550273	44119	6170	5489	0.22%	0.00%	1.43	0.01%	1.2	2202322	6.18%	9363	0.03%	315	0.00%	2678070	7.51%	17220	0.05%	2
CESC-ZJ-AAXJ-TP	47263373	96	42044321	88.96%	95.41	4795236	4719684	4761852	25491	3140	4753	0.16%	0.01%	1.35	0.01%	1.2	3796092	8.03%	20489	0.04%	217	0.00%	1378720	2.92%	23534	0.05%	2
KIRP-HE-7129-TP	100520708	96	92293340	91.82%	95.13	18711068	18524113	18531773	148853	16958	13484	0.32%	0.00%	1.43	0.00%	1.2	4790699	4.77%	39209	0.04%	879	0.00%	3348034	3.33%	48547	0.05%	2
ACC-OR-A5J1-TP	68589509	96	60479756	88.18%	95.3	6797524	6702380	6734938	48944	8135	5507	0.29%	0.01%	1.33	0.01%	1.19	5210799	7.60%	20948	0.03%	625	0.00%	2858629	4.17%	18752	0.03%	2
THCA-BJ-A0YZ-TP	74206814	96	62802245	84.63%	95.23	12661892	12564620	12555856	84814	9371	11851	0.33%	0.00%	1.41	0.01%	1.2	4680331	6.31%	19423	0.03%	429	0.00%	6682958	9.01%	21428	0.03%	2
LUAD-49-AAR4-TP	49877671	96	43538365	87.29%	95.21	7194591	6611560	7138597	43567	5072	7355	0.24%	0.01%	1.32	0.01%	1.21	3381507	6.78%	34880	0.07%	691	0.00%	2880254	5.77%	41974	0.08%	2
PRAD-CH-5762-TP	64693915	96	55247738	85.40%	94.99	10864726	10757483	10767999	78951	9536	8240	0.63%	0.00%	1.45	0.01%	1.2	3445526	5.33%	22537	0.03%	708	0.00%	5955093	9.21%	22313	0.03%	2
PRAD-G9-6353-TP	80515092	96	72554079	90.11%	94.92	14199261	14061979	14080404	95734	12505	10618	0.42%	0.00%	1.44	0.01%	1.2	5358716	6.66%	21849	0.03%	751	0.00%	2556634	3.18%	23063	0.03%	2
LUSC-56-5898-TP	66367485	100	59078509	89.02%	99.06	14430952	14260126	14319494	90769	10817	9872	0.60%	0.00%	1.43	0.01%	1.22	4011029	6.04%	36028	0.05%	813	0.00%	3177231	4.79%	63875	0.10%	2
OV-36-1571-TP	116317808	150	97205129	83.57%	148.25	42587850	42053886	42114482	343357	42247	87764	0.46%	0.01%	1.41	0.01%	1.42	11767262	10.12%	43146	0.04%	38177	0.03%	7215077	6.20%	49017	0.04%	2
KIRC-BP-4327-TP	74974658	100	67970883	90.66%	99.35	11276228	11112317	11168279	89816	8773	9360	0.26%	0.01%	1.32	0.00%	1.26	4557009	6.08%	52151	0.07%	1061	0.00%	2342618	3.12%	50936	0.07%	2
HNSC-D6-A6EO-TP	81452767	96	72217554	88.66%	94.99	15842139	15617609	15711980	106951	13479	9729	0.54%	0.00%	1.43	0.00%	1.2	4187305	5.14%	38447	0.05%	807	0.00%	4946181	6.07%	62473	0.08%	2
ESCA-L5-A8NQ-TP	47875315	150	29049879	60.68%	147.91	12408689	12194674	12311428	73095	8474	15692	0.64%	0.00%	1.58	0.00%	1.5	2779045	5.80%	23978	0.05%	11930	0.02%	15999192	33.42%	11291	0.02%	2
LIHC-FV-A2QR-NT	63743452	96	57699526	90.52%	95.13	13114124	12967162	13027144	76124	4904	5952	0.22%	0.00%	1.41	0.00%	1.17	4304008	6.75%	9070	0.01%	328	0.00%	1713256	2.69%	17264	0.03%	2
BRCA-BH-A0B5-NT	77757325	100	71008715	91.32%	99.18	12939009	12829226	12834843	88790	8124	7252	0.32%	0.00%	1.38	0.01%	1.22	4090927	5.26%	20372	0.03%	465	0.00%	2616556	3.37%	20290	0.03%	2
KIRP-5P-A9KC-TP	82072359	96	74623294	90.92%	95.08	15786062	15609606	15641049	122748	11526	10739	0.24%	0.00%	1.44	0.00%	1.19	3958018	4.82%	26706	0.03%	737	0.00%	3435538	4.19%	28066	0.03%	2
SKCM-D3-A3C1-TM	81278329	96	73071350	89.90%	95.12	14994538	14875931	14878070	96072	11588	8808	0.27%	0.00%	1.36	0.01%	1.23	5081455	6.25%	11847	0.01%	484	0.00%	3097180	3.81%	16013	0.02%	2
BRCA-OL-A66K-TP	59726469	96	53783443	90.05%	95.09	10335183	10208005	10248473	66491	8118	12101	0.33%	0.00%	1.44	0.01%	1.23	3269828	5.47%	34264	0.06%	529	0.00%	2614353	4.38%	24052	0.04%	2
UCEC-A5-A0GJ-TP	23073613	76	18708570	81.08%	74.82	2774689	2738579	2756194	13566	2561	2368	0.27%	0.01%	1.54	0.01%	1.33	3107686	13.47%	28425	0.12%	0	0.00%	1217751	5.28%	11181	0.05%	1
BRCA-BH-A0HW-TP	89091137	100	81717377	91.72%	99.12	17222673	17045966	17058163	131359	15182	17969	0.21%	0.00%	1.46	0.01%	1.25	4425385	4.97%	36376	0.04%	1341	0.00%	2868596	3.22%	42062	0.05%	2
