Chromosome	hotspot_coord	hotspot	hotspot_sample_counts	proj_label	viruses	insert_genes	insert_gene_count
chr4	69555714	chr4:69555714	4	NATGEN2015	HPV16,HPV33	UGT2A3P7~RP11-401E5.2	3
chr4	86213307	chr4:86213307	4	NATGEN2015	HPV16	RP11-778J15.1;MAPK10	4
chr4	182828289	chr4:182828289	4	NATGEN2015	HPV16,HPV33,HPV11	AC114798.1~RP11-188P17.2	3
chr4	189866897	chr4:189866897	4	NATGEN2015	HPV16,HPV11,HPV33	AF146191.4	3
chr5	579707	chr5:579707	4	NATGEN2015	HPV16,HPV11,HPV33	MIR4456~RP11-310P5.1	3
chr5	1558271	chr5:1558271	4	NATGEN2015	HPV33,HPV16	CTD-2245E15.3~AC091849.1	1
chr5	3690147	chr5:3690147	4	NATGEN2015	HPV16	IRX1~AC091947.1	3
chr5	4058402	chr5:4058402	4	NATGEN2015,TCGA^LIHC	HPV16,HBV	CTD-2383I20.1~CTD-2008N3.1	3
chr5	6562985	chr5:6562985	4	NATGEN2015,TCGA^CESC	HPV16,HPV11	CTD-2195M18.2~LINC01018	4
chr5	9199513	chr5:9199513	4	NATGEN2015	HPV16	SEMA5A	4
chr5	12687830	chr5:12687830	4	NATGEN2015	HPV16	LINC01194	4
chr5	23561018	chr5:23561018	4	NATGEN2015	HPV11,HPV16	PRDM9	2
chr5	37838361	chr5:37838361	4	NATGEN2015,TCGA^CESC	HPV16,HPV33,HPV58	GDNF-AS1	2
chr5	40831386	chr5:40831386	4	NATGEN2015,TCGA^HNSC	HPV16	C7	1
chr5	47665725	chr5:47665725	4	NATGEN2015,TCGA^CESC	HPV16,HPV33	CTD-2013M15.1~EMB	4
chr5	70200207	chr5:70200207	4	NATGEN2015	HPV16,HPV33	CDH12P3~RP11-1415C14.4	2
chr5	71200593	chr5:71200593	4	NATGEN2015	HPV33,HPV16	CDH12P4~GUSBP9	2
chr5	87039305	chr5:87039305	4	NATGEN2015,TCGA^LIHC	HPV16,HPV33,HBV	RP11-72L22.1	4
chr5	101987647	chr5:101987647	4	NATGEN2015	HPV33,HPV18,HPV58,HPV16	OR7H2P~RP11-1152B5.1	2
chr5	127669517	chr5:127669517	4	NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV16,HPV58,HPV33,HBV	PRRC1~CTXN3	2
chr5	131141570	chr5:131141570	4	NATGEN2015	HPV16	RP11-114H7.3~HINT1	2
chr5	135108556	chr5:135108556	4	NATGEN2015	HPV16	C5orf66	3
chr5	142921367	chr5:142921367	4	NATGEN2015,TCGA^BLCA,TCGA^CESC,TCGA^STAD	HPV16,Eppstein-Barr	ARHGAP26	4
chr5	181445782	chr5:181445782	4	NATGEN2015,TCGA^LIHC	HPV16,HBV,HPV33	WBP1LP4~AC138031.1	3
chr6	5798437	chr6:5798437	4	NATGEN2015,TCGA^LIHC	HPV16,HBV	FARS2	1
chr6	7670463	chr6:7670463	4	NATGEN2015	HPV16	RP3-336K20__B.2~BMP6	4
chr6	25169563	chr6:25169563	4	NATGEN2015,TCGA^CESC	HPV18,HPV16	CMAHP	2
chr6	33590998	chr6:33590998	4	NATGEN2015	HPV16	ITPR3	2
chr6	58082607	chr6:58082607	4	NATGEN2015,TCGA^LIHC	HPV16,HBV	RP11-278J20.2~RBBP4P4	3
chr6	83806649	chr6:83806649	4	NATGEN2015	HPV16	RP3-393K13.1~RIPPLY2	3
chr6	89839120	chr6:89839120	4	NATGEN2015	HPV16,HPV33	CASP8AP2	2
chr6	106729686	chr6:106729686	4	NATGEN2015,TCGA^CESC	HPV16	RP1-60O19.1	3
chr6	118820491	chr6:118820491	4	NATGEN2015,TCGA^LIHC	HPV16,HBV,HPV58	MCM9	2
chr7	177528	chr7:177528	4	NATGEN2015	HPV33,HPV11,HPV16	FAM20C	3
chr7	504909	chr7:504909	4	NATGEN2015,TCGA^CESC	HPV52,HPV16,HPV33,HPV18	PRKAR1B	2
chr7	3977314	chr7:3977314	4	NATGEN2015	HPV11,HPV16	SDK1	4
chr7	21148762	chr7:21148762	4	NATGEN2015,TCGA^CESC	HPV45,HPV16	LINC01162~RN7SL542P	4
chr7	57826495	chr7:57826495	4	NATGEN2015	HPV16,HPV58	RP11-548K12.13~RP11-715L17.1	2
chr7	60929141	chr7:60929141	4	NATGEN2015	HPV16,HPV33,HPV18	RP11-548K12.13~RP11-715L17.1	4
chr8	745033	chr8:745033	4	NATGEN2015,TCGA^CESC	HPV16,HPV33	ERICH1-AS1	3
chr8	7283462	chr8:7283462	4	NATGEN2015	HPV11,HPV16	FAM66B	3
chr8	16576739	chr8:16576739	4	NATGEN2015	HPV33,HPV16	MRPL49P2~RP11-13N12.2	2
chr8	86295001	chr8:86295001	4	NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV16,HBV	SLC7A13	2
chr8	98754621	chr8:98754621	4	NATGEN2015,TCGA^CESC	HPV58,HPV16	STK3	4
chr8	119091767	chr8:119091767	4	NATGEN2015,TCGA^CESC	HPV16,HPV18	COLEC10	2
chr8	127968698	chr8:127968698	4	NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV16,HPV18	PVT1	4
chr8	135353340	chr8:135353340	4	NATGEN2015	HPV16,HPV33	RP11-452N4.1~RP11-343P9.1	3
chr8	141852797	chr8:141852797	4	NATGEN2015,TCGA^CESC	HPV16,HPV33	AC138647.1~AC104417.1	4
chr9	2607315	chr9:2607315	4	NATGEN2015	HPV16	VLDLR-AS1	2
chr9	34400240	chr9:34400240	4	NATGEN2015	HPV16,HPV33	C9orf24	1
chr9	41174864	chr9:41174864	4	NATGEN2015	HPV33,HPV16	RP11-87H9.2;CBWD7	4
chr9	42100260	chr9:42100260	4	NATGEN2015	HPV16,HPV18	CNTNAP3B	2
chr9	42950463	chr9:42950463	4	NATGEN2015,TCGA^LIHC	HPV33,HPV58,HPV16,HBV	RP11-459O16.8~FP325317.1	2
chr9	43341293	chr9:43341293	4	NATGEN2015,TCGA^CESC	HPV58,HPV16,HPV18	FP325317.1~BX088702.1	4
chr9	60605260	chr9:60605260	4	NATGEN2015,TCGA^CESC	HPV16,HPV33,HPV58	RP11-49E18.1~SPATA31A5	4
chr9	65181573	chr9:65181573	4	NATGEN2015	HPV18,HPV16,HPV33	AC125634.1~BMS1P12	2
chr9	86718905	chr9:86718905	4	NATGEN2015	HPV16,HPV58,HPV33	RP11-395D3.1~GAS1	3
chr9	99899992	chr9:99899992	4	NATGEN2015,TCGA^HNSC	HPV16	STX17	2
chr9	102181383	chr9:102181383	4	NATGEN2015	HPV16	ARL2BPP7~RNU6-329P	4
chr9	104967873	chr9:104967873	4	NATGEN2015,TCGA^CESC	HPV16,HPV33	RP11-217B7.3~RN7SKP191	2
chr9	107743777	chr9:107743777	4	NATGEN2015,TCGA^HNSC	HPV16,HPV33	AL389915.1~RNU6-1064P	2
chr9	108457726	chr9:108457726	4	NATGEN2015,TCGA^HNSC	HPV16,HPV58,HPV18	AL137019.1~RP11-220D10.1	4
chr9	129320095	chr9:129320095	4	NATGEN2015,TCGA^CESC,TCGA^LIHC	HBV,HPV18,HPV16	LINC01503	1
chr9	133224273	chr9:133224273	4	NATGEN2015,TCGA^CESC	HPV16,HPV33	ABO	3
chrX	35121591	chrX:35121591	4	NATGEN2015	HPV58,HPV16,HPV33	RP11-504E21.1~RNU6-1087P	4
chrX	38676238	chrX:38676238	4	NATGEN2015	HPV16	TSPAN7	3
chrX	69404845	chrX:69404845	4	NATGEN2015	HPV16,HPV33	LINC00269~CYCSP43	4
chrX	106037702	chrX:106037702	4	NATGEN2015,TCGA^HNSC	HPV16,HPV33	NRK~SERPINA7	2
chrX	112547030	chrX:112547030	4	NATGEN2015,TCGA^CESC	HPV16,HPV33	BX088563.1~LHFPL1	4
chrX	115721718	chrX:115721718	4	NATGEN2015	HPV16,HPV18	RP1-241P17.4~RP1-241P17.1	3
chrX	131683648	chrX:131683648	4	NATGEN2015,TCGA^CESC	HPV16,HPV58,HPV18	FIRRE	2
chrX	140688092	chrX:140688092	4	NATGEN2015	HPV16	SOX3~XXyac-YR29IB3.1	2
chrX	155748415	chrX:155748415	4	NATGEN2015	HPV16,HPV33	TMLHE~SPRY3	3
chrY	11167762	chrY:11167762	4	NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV16,HPV11,HPV33	AC134878.1~DUX4L16	2
chr11	102872796	chr11:102872796	4	TCGA^CESC,TCGA^HNSC	HPV18,HPV16	MMP3~MMP12	2
chr8	128088284	chr8:128088284	4	TCGA^CESC	HPV18,HPV16	FKSG59~MIR1208	3
chr9	5433922	chr9:5433922	4	TCGA^CESC,TCGA^HNSC,TCGA^STAD	HPV16,Eppstein-Barr	CD274	2
chr1	4585939	chr1:4585939	3	CCLE,NATGEN2015	HPV33,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16	AJAP1	1
chr1	6200172	chr1:6200172	3	CCLE,GTEx,NATGEN2015	NC_009333_137969nt_Human_gammaherpesvirus_8,Eppstein-Barr,HPV16	RPL22	2
chr1	8360111	chr1:8360111	3	CCLE,GTEx	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus	RERE	3
chr1	22900783	chr1:22900783	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16	EPHB2	3
chr1	23496083	chr1:23496083	3	CCLE,TCGA^CESC	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV18,HPV16	ASAP3	1
chr1	23772575	chr1:23772575	3	CCLE,NATGEN2015,TCGA^LIHC	HPV16,Eppstein-Barr,HBV	GALE	1
chr1	25105443	chr1:25105443	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16	RP4-781L3.1~RP4-706G24.1	1
chr1	26909219	chr1:26909219	3	CCLE,GTEx	NC_007815_8197nt_PreXMRV_1,Eppstein-Barr	NUDC	2
chr1	35600879	chr1:35600879	3	CCLE,GTEx,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr	PSMB2	2
chr1	36370496	chr1:36370496	3	CCLE,GTEx	NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr,NC_009333_137969nt_Human_gammaherpesvirus_8	STK40	2
chr1	40754454	chr1:40754454	3	CCLE,NATGEN2015,TCGA^CESC	NC_007815_8197nt_PreXMRV_1,HPV33,HPV16	KCNQ4	1
chr1	63752902	chr1:63752902	3	CCLE,NATGEN2015	Eppstein-Barr,HPV16	ROR1	2
chr1	92848613	chr1:92848613	3	CCLE,GTEx,NATGEN2015	NC_006430_15246nt_Mammalian_orthorubulavirus_5,Eppstein-Barr,HPV16	FAM69A	1
chr1	96699663	chr1:96699663	3	CCLE,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV16	PTBP2	2
chr1	153537492	chr1:153537492	3	CCLE,NATGEN2015	HPV16,NC_001702_8135nt_Murine_type_C_retrovirus	S100A2	1
chr1	157041193	chr1:157041193	3	CCLE,NATGEN2015	NC_006430_15246nt_Mammalian_orthorubulavirus_5,HPV11,HPV16	ARHGEF11	2
chr1	161063808	chr1:161063808	3	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16	ARHGAP30	2
chr1	163495494	chr1:163495494	3	CCLE,NATGEN2015	HPV16,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	RNA5SP63~RP4-640E24.1	2
chr1	174299624	chr1:174299624	3	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16	RABGAP1L	3
chr1	183581381	chr1:183581381	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16	SMG7	2
chr1	209397739	chr1:209397739	3	CCLE,NATGEN2015	HPV16,NC_007815_8197nt_PreXMRV_1	MIR205HG	1
chr1	209761383	chr1:209761383	3	CCLE,NATGEN2015	NC_001362_8323nt_Friend_murine_leukemia_virus,HPV16,HPV33	HSD11B1	1
chr1	230163654	chr1:230163654	3	CCLE,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	GALNT2	2
chr1	238672760	chr1:238672760	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16	RP11-177F15.1~MIPEPP2	3
chr1	241124898	chr1:241124898	3	CCLE,NATGEN2015	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV16	RGS7	3
chr1	242964878	chr1:242964878	3	CCLE,NATGEN2015,TCGA^HNSC	NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	RP11-331N16.1~RP11-261C10.1	2
chr10	17067507	chr10:17067507	3	CCLE,NATGEN2015	NC_007815_8197nt_PreXMRV_1,HPV16,HPV33	CUBN	3
chr10	23158733	chr10:23158733	3	CCLE,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	LINC01552~RP11-215C7.3	1
chr10	29493978	chr10:29493978	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16,HPV33	SVIL	2
chr10	31967850	chr10:31967850	3	CCLE,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	ARHGAP12	1
chr10	62093463	chr10:62093463	3	CCLE,NATGEN2015,TCGA^LIHC	HPV16,HBV,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	ARID5B	2
chr10	100245862	chr10:100245862	3	CCLE,GTEx,NATGEN2015	HPV58,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	BLOC1S2	1
chr10	104068233	chr10:104068233	3	CCLE,NATGEN2015	HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001501_8332nt_Moloney_murine_leukemia_virus	COL17A1	1
chr10	119167199	chr10:119167199	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV33,HPV16	PRDX3	1
chr11	3082771	chr11:3082771	3	CCLE,NATGEN2015	HPV16,HPV11,NC_001501_8332nt_Moloney_murine_leukemia_virus	OSBPL5	2
chr11	7673530	chr11:7673530	3	CCLE,GTEx,NATGEN2015	HPV16,Eppstein-Barr	CYB5R2	1
chr11	9019805	chr11:9019805	3	CCLE,NATGEN2015,TCGA^LIHC	HBV,HPV16,NC_007815_8197nt_PreXMRV_1	RP11-467K18.2	1
chr11	27596247	chr11:27596247	3	CCLE,NATGEN2015	HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,HPV33	BDNF-AS	1
chr11	32215590	chr11:32215590	3	CCLE,NATGEN2015,TCGA^CESC	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV16,HPV45	THEM7P	3
chr11	32836193	chr11:32836193	3	CCLE,NATGEN2015,TCGA^CESC	HPV33,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16,NC_007815_8197nt_PreXMRV_1	CCDC73	1
chr11	34117137	chr11:34117137	3	CCLE,GTEx,TCGA^CESC	Eppstein-Barr,HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	NAT10	2
chr11	46411674	chr11:46411674	3	CCLE,GTEx	NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr	RP11-425L10.1;AMBRA1	2
chr11	60905788	chr11:60905788	3	CCLE,TCGA^LIHC	HBV,NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr	PRPF19	2
chr11	61361348	chr11:61361348	3	CCLE,GTEx	NC_001702_8135nt_Murine_type_C_retrovirus,Eppstein-Barr	CPSF7	1
chr11	68892567	chr11:68892567	3	CCLE,NATGEN2015	HPV33,NC_007815_8197nt_PreXMRV_1,NC_001501_8332nt_Moloney_murine_leukemia_virus	MRPL21	3
chr11	69774217	chr11:69774217	3	CCLE,NATGEN2015,TCGA^HNSC	HPV16,HBV,HPV33	FGF3	1
chr11	74774514	chr11:74774514	3	CCLE,NATGEN2015	HPV33,HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	RNF169	1
chr11	76945620	chr11:76945620	3	CCLE,NATGEN2015,TCGA^HNSC	HPV18,HPV16	ACER3	1
chr11	78206043	chr11:78206043	3	CCLE,NATGEN2015,TCGA^CESC	Eppstein-Barr,HPV33,HPV18	USP35	2
chr11	82708758	chr11:82708758	3	CCLE,GTEx,GTEx	NC_001806_152222nt_Human_alphaherpesvirus_1,Eppstein-Barr	RP11-179A16.1;RPS28P7	2
chr11	86824524	chr11:86824524	3	CCLE,NATGEN2015	HPV16,HPV11,NC_001501_8332nt_Moloney_murine_leukemia_virus	PRSS23	3
chr11	111737088	chr11:111737088	3	CCLE,NATGEN2015	Eppstein-Barr,HPV58,HPV16	PPP2R1B	2
chr11	123086542	chr11:123086542	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	HSPA8	2
chr11	126294609	chr11:126294609	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_007815_8197nt_PreXMRV_1,HPV33	DCPS	1
chr11	129893410	chr11:129893410	3	CCLE,NATGEN2015	HPV33,HPV16,NC_001702_8135nt_Murine_type_C_retrovirus	NFRKB	1
chr12	9235614	chr12:9235614	3	CCLE,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001702_8135nt_Murine_type_C_retrovirus	PTMAP4;LINC00987;A2MP1	2
chr12	12902165	chr12:12902165	3	CCLE	NC_001702_8135nt_Murine_type_C_retrovirus	GPRC5A	2
chr12	19421031	chr12:19421031	3	CCLE,GTEx,NATGEN2015	NC_001806_152222nt_Human_alphaherpesvirus_1,HPV58,NC_001702_8135nt_Murine_type_C_retrovirus	AEBP2	1
chr12	31265310	chr12:31265310	3	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV33	FAM60A	1
chr12	54442093	chr12:54442093	3	CCLE,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	ITGA5;RP11-753H16.5;RP11-753H16.3	1
chr12	59072135	chr12:59072135	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16,HPV33	RP11-150C16.1	2
chr12	68550118	chr12:68550118	3	CCLE,TCGA^CESC	NC_001702_8135nt_Murine_type_C_retrovirus,HPV58,NC_001501_8332nt_Moloney_murine_leukemia_virus	RP11-254B13.1	2
chr12	89028169	chr12:89028169	3	CCLE,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,HPV16,HPV11	RP11-13A1.2~RP11-13A1.3	1
chr12	93083605	chr12:93083605	3	CCLE	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_001702_8135nt_Murine_type_C_retrovirus	RP11-511B23.2	2
chr12	123012816	chr12:123012816	3	CCLE,GTEx,NATGEN2015	HPV16,Eppstein-Barr	ABCB9;ARL6IP4	1
chr13	29537911	chr13:29537911	3	CCLE,NATGEN2015,TCGA^CESC	HPV16,NC_001669_5243nt_Macaca_mulatta_polyomavirus_1	SLC7A1	3
chr13	30494170	chr13:30494170	3	CCLE,NATGEN2015,TCGA^LIHC	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV33,HBV	HMGB1	3
chr13	49628903	chr13:49628903	3	CCLE,GTEx	Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	ARL11	1
chr13	52258241	chr13:52258241	3	CCLE,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	TPTE2P2	2
chr13	52617306	chr13:52617306	3	CCLE,NATGEN2015	HPV16,NC_001702_8135nt_Murine_type_C_retrovirus,NC_001501_8332nt_Moloney_murine_leukemia_virus	HNRNPA1L2	2
chr13	54440773	chr13:54440773	3	CCLE	NC_001702_8135nt_Murine_type_C_retrovirus,NC_001501_8332nt_Moloney_murine_leukemia_virus	RPL13AP25	3
chr13	113906974	chr13:113906974	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16,HPV33	GAS6	1
chr14	26315312	chr14:26315312	3	CCLE,NATGEN2015	HPV11,NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV16	CYB5AP5~NOVA1	3
chr14	32202141	chr14:32202141	3	CCLE,GTEx,GTEx	NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001702_8135nt_Murine_type_C_retrovirus	RNU6-7	3
chr14	37923270	chr14:37923270	3	CCLE,NATGEN2015	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,NC_000858_9028nt_Simian_T_lymphotropic_virus_1,HPV33,HPV16	TTC6	3
chr14	49872914	chr14:49872914	3	CCLE,GTEx,GTEx	Eppstein-Barr,NC_001806_152222nt_Human_alphaherpesvirus_1,NC_001501_8332nt_Moloney_murine_leukemia_virus	AL627171.2;RN7SL2	1
chr14	60177608	chr14:60177608	3	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16	PCNXL4	1
chr14	67775954	chr14:67775954	3	CCLE,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	ZFYVE26	3
chr14	74661662	chr14:74661662	3	CCLE,GTEx,NATGEN2015	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	AREL1	1
chr14	102062646	chr14:102062646	3	CCLE,GTEx,NATGEN2015	Eppstein-Barr,HPV16,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	DYNC1H1;RP11-1017G21.4	1
chr15	23308934	chr15:23308934	3	CCLE,NATGEN2015	NC_007815_8197nt_PreXMRV_1,HPV16	RP11-467N20.7~HERC2P7	2
chr15	34540008	chr15:34540008	3	CCLE,GTEx,NATGEN2015	HPV33,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	GOLGA8B	3
chr15	64488156	chr15:64488156	3	CCLE,NATGEN2015,TCGA^CESC	HPV33,NC_001702_8135nt_Murine_type_C_retrovirus,HPV18	ZNF609	3
chr15	68233733	chr15:68233733	3	CCLE,NATGEN2015	HPV16,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	CLN6	2
chr15	84713583	chr15:84713583	3	CCLE,NATGEN2015	NC_007815_8197nt_PreXMRV_1,HPV16	SEC11A~RP11-7M10.2	2
chr16	29950	chr16:29950	3	CCLE,TCGA^CESC	HPV58,Eppstein-Barr,HPV16	DDX11L10	1
chr16	11685228	chr16:11685228	3	CCLE,GTEx	Eppstein-Barr,NC_000858_9028nt_Simian_T_lymphotropic_virus_1	TXNDC11	2
chr16	31123624	chr16:31123624	3	CCLE,GTEx,TCGA^CESC	HPV16,Eppstein-Barr	RP11-388M20.6;FUS	1
chr16	67535149	chr16:67535149	3	CCLE,GTEx,NATGEN2015	HPV33,Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	FAM65A;CTD-2012K14.4;CTD-2012K14.3	2
chr16	82609525	chr16:82609525	3	CCLE,NATGEN2015	HPV18,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV58	CDH13	1
chr16	87440656	chr16:87440656	3	CCLE,GTEx,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV33,Eppstein-Barr	MAP1LC3B	1
chr17	536577	chr17:536577	3	CCLE,NATGEN2015	HPV16,NC_006430_15246nt_Mammalian_orthorubulavirus_5	VPS53	2
chr17	2227492	chr17:2227492	3	CCLE,NATGEN2015	HPV58,NC_007815_8197nt_PreXMRV_1,HPV16	SMG6	3
chr17	7394551	chr17:7394551	3	CCLE,GTEx	Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	ACAP1	1
chr17	19586879	chr17:19586879	3	CCLE,NATGEN2015,TCGA^LIHC	HPV16,NC_007815_8197nt_PreXMRV_1,HBV	CTD-2104P17.1	1
chr17	20819414	chr17:20819414	3	CCLE,NATGEN2015,TCGA^CESC	NC_007815_8197nt_PreXMRV_1,HPV16,HPV33	ABHD17AP6	1
chr17	32366247	chr17:32366247	3	CCLE,GTEx	Eppstein-Barr	ZNF207	3
chr17	50159690	chr17:50159690	3	CCLE,GTEx	NC_001501_8332nt_Moloney_murine_leukemia_virus,Eppstein-Barr	AC002401.1;PPP1R9B	1
chr17	60037916	chr17:60037916	3	CCLE,NATGEN2015,TCGA^CESC	HPV16,NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV33	CTD-2319I12.3	1
chr17	69087158	chr17:69087158	3	CCLE,NATGEN2015	HPV33,HPV16,NC_001702_8135nt_Murine_type_C_retrovirus	ABCA10	1
chr17	81043852	chr17:81043852	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,HPV11,HPV33	BAIAP2	2
chr18	32436737	chr18:32436737	3	CCLE,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	GAREM;HNRNPA1P7;AC021224.1	2
chr18	50280395	chr18:50280395	3	CCLE,GTEx	NC_009333_137969nt_Human_gammaherpesvirus_8,Eppstein-Barr	CXXC1	2
chr18	70355559	chr18:70355559	3	CCLE,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,HPV16	RP11-41O4.1	1
chr19	3546024	chr19:3546024	3	CCLE,GTEx,NATGEN2015	NC_009333_137969nt_Human_gammaherpesvirus_8,HPV16,Eppstein-Barr	FZR1	1
chr19	15732256	chr19:15732256	3	CCLE,NATGEN2015,TCGA^CESC	HPV16,HPV33,NC_001702_8135nt_Murine_type_C_retrovirus	AC004510.3;UCA1	1
chr19	18676658	chr19:18676658	3	CCLE,NATGEN2015	HPV33,NC_007815_8197nt_PreXMRV_1,HPV16	UBA52;CRLF1	2
chr19	18894652	chr19:18894652	3	CCLE,GTEx	Eppstein-Barr,NC_001501_8332nt_Moloney_murine_leukemia_virus	HOMER3	1
chr19	45195772	chr19:45195772	3	CCLE,NATGEN2015	HPV16,HPV33,Eppstein-Barr	TRAPPC6A	2
chr2	8889422	chr2:8889422	3	CCLE,GTEx,NATGEN2015	NC_001702_8135nt_Murine_type_C_retrovirus,NC_001806_152222nt_Human_alphaherpesvirus_1,HPV58	MBOAT2	2
chr2	17711864	chr2:17711864	3	CCLE,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	SMC6;GEN1	2
chr2	37589608	chr2:37589608	3	CCLE,GTEx,NATGEN2015	NC_001501_8332nt_Moloney_murine_leukemia_virus,NC_001669_5243nt_Macaca_mulatta_polyomavirus_1,HPV16,Eppstein-Barr	RNU6-1116P~AC006369.2	2
chr2	70683036	chr2:70683036	3	CCLE,NATGEN2015	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	ADD2	3
chr2	71356170	chr2:71356170	3	CCLE,GTEx,NATGEN2015	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I,HPV33,NC_000858_9028nt_Simian_T_lymphotropic_virus_1,Eppstein-Barr	ZNF638	3
chr2	74447488	chr2:74447488	3	CCLE,GTEx,TCGA^LIHC	HBV,Eppstein-Barr,NC_009333_137969nt_Human_gammaherpesvirus_8	C2orf81	1
chr2	85290555	chr2:85290555	3	CCLE,NATGEN2015,TCGA^CESC	HPV16,NC_001501_8332nt_Moloney_murine_leukemia_virus	TCF7L1	2
chr2	106645115	chr2:106645115	3	CCLE,NATGEN2015	HPV16,NC_001702_8135nt_Murine_type_C_retrovirus	AC108868.6~EEF1A1P12	2
chr2	120352767	chr2:120352767	3	CCLE,GTEx,TCGA^CESC	Eppstein-Barr,NC_001702_8135nt_Murine_type_C_retrovirus,HPV58	AC012363.2~AC012363.13	1
